date,weighted_score,simple_score,resistance_count,support_count,no_touch_count,total_stocks,total_weight
2025-01-02,-12.87,-12.27,76,261,659,996,101.21
2025-01-03,-12.58,-12.25,104,292,600,997,101.26
2025-01-06,-12.22,-11.67,101,276,619,997,101.26
2025-01-07,-8.97,-9.4,84,223,689,997,101.26
2025-01-08,-9.93,-11.04,104,269,623,997,101.26
2025-01-09,-1.87,-2.96,121,166,709,997,101.26
2025-01-10,-0.59,-3.58,142,196,658,998,101.29
2025-01-13,-12.35,-14.44,100,312,584,998,101.29
2025-01-14,-4.99,-5.58,107,185,704,998,101.29
2025-01-15,2.99,1.82,119,91,786,998,101.29
2025-01-16,5.96,4.04,135,75,786,998,101.29
2025-01-17,1.64,0.98,89,75,832,998,101.29
2025-01-20,7.55,5.98,127,39,830,998,101.29
2025-01-21,3.7,2.68,102,66,828,998,101.29
2025-01-22,-0.53,-2.02,70,104,822,998,101.29
2025-01-23,6.8,4.85,122,57,817,1000,101.35
2025-01-24,0.05,-0.18,80,88,828,1000,101.35
2025-01-27,4.72,3.72,105,55,836,1000,101.35
2025-02-05,1.78,1.33,78,61,857,1000,101.35
2025-02-06,4.37,2.95,103,63,830,1000,101.35
2025-02-07,10.42,8.79,159,38,799,1000,101.35
2025-02-10,8.49,6.94,134,38,825,1000,101.35
2025-02-11,5.93,5.26,117,47,833,1000,101.35
2025-02-12,3.44,3.4,99,57,841,1000,101.35
2025-02-13,7.44,6.28,118,39,840,1000,101.35
2025-02-14,4.95,4.17,102,53,844,1000,101.35
2025-02-17,2.72,2.82,96,58,846,1000,101.35
2025-02-18,2.6,1.53,91,77,832,1000,101.35
2025-02-19,2.12,1.22,96,86,818,1000,101.35
2025-02-20,2.25,2.37,107,79,814,1000,101.35
2025-02-21,5.89,4.81,135,78,787,1000,101.35
2025-02-24,3.25,4.13,136,85,779,1000,101.35
2025-02-25,4.17,2.3,138,109,753,1000,101.35
2025-02-26,3.35,1.88,121,100,779,1000,101.35
2025-02-27,2.01,3.1,121,86,793,1000,101.35
2025-02-28,-0.35,-0.11,107,115,778,1000,101.35
2025-03-03,-3.4,-2.27,85,118,797,1000,101.35
2025-03-04,-4.28,-3.03,78,121,801,1000,101.35
2025-03-05,3.36,2.01,120,89,791,1000,101.35
2025-03-06,6.67,5.84,135,53,812,1000,101.35
2025-03-07,6.17,6.29,138,55,807,1000,101.35
2025-03-10,5.24,6.14,135,57,808,1000,101.35
2025-03-11,-0.09,0.53,95,91,814,1000,101.35
2025-03-12,7.29,7.34,129,37,834,1000,101.35
2025-03-13,-3.27,-1.41,83,116,801,1000,101.35
2025-03-14,0.74,1.73,100,91,809,1000,101.35
2025-03-17,5.35,6.65,121,39,840,1000,101.35
2025-03-18,5.59,6.71,120,38,842,1000,101.35
2025-03-19,3.47,4.01,94,51,855,1000,101.35
2025-03-20,5.21,5.39,109,48,843,1000,101.35
2025-03-21,1.01,1.96,108,98,794,1000,101.35
2025-03-24,-5.69,-3.96,80,147,773,1000,101.35
2025-03-25,-3.18,-1.91,86,125,789,1000,101.35
2025-03-26,1.12,1.63,98,83,819,1000,101.35
2025-03-27,0.07,0.36,91,97,812,1000,101.35
2025-03-28,0.78,0.15,76,76,848,1000,101.35
2025-03-31,-4.94,-4.99,74,156,770,1000,101.35
2025-04-01,0.05,0.43,97,100,803,1000,101.35
2025-04-02,-1.56,0.39,80,86,834,1000,101.35
2025-04-03,-4.66,-2.09,81,117,802,1000,101.35
2025-04-07,-36.78,-38.6,59,568,373,1000,101.35
2025-04-08,-27.11,-29.05,111,500,389,1000,101.35
2025-04-09,-33.99,-34.59,101,567,332,1000,101.35
2025-04-10,-5.18,-6.88,180,245,575,1000,101.35
2025-04-11,-9.05,-9.23,139,241,620,1000,101.35
2025-04-14,-1.91,-1.09,149,146,705,1000,101.35
2025-04-15,-2.41,-2.76,126,153,721,1000,101.35
2025-04-16,-12.04,-12.39,93,253,654,1000,101.35
2025-04-17,-10.45,-9.45,89,217,694,1000,101.35
2025-04-18,-11.07,-9.84,60,192,748,1000,101.35
2025-04-21,-1.17,-1.44,127,142,731,1000,101.35
2025-04-22,7.06,5.53,141,63,796,1000,101.35
2025-04-23,8.67,7.83,161,46,793,1000,101.35
2025-04-24,-0.93,-0.09,101,105,794,1000,101.35
2025-04-25,-0.89,-0.55,87,96,817,1000,101.35
2025-04-28,-4.95,-6.66,68,155,777,1000,101.35
2025-04-29,-7.23,-8.33,64,170,766,1000,101.35
2025-04-30,0.72,-0.33,110,110,780,1000,101.35
2025-05-06,6.78,5.52,138,57,805,1000,101.35
2025-05-07,10.85,10.32,187,37,776,1000,101.35
2025-05-08,5.35,5.61,124,43,833,1000,101.35
2025-05-09,3.7,4.29,107,48,845,1000,101.35
2025-05-12,2.17,2.41,84,55,861,1000,101.35
2025-05-13,4.79,5.15,103,35,862,1000,101.35
2025-05-14,3.73,4.02,91,38,871,1000,101.35
2025-05-15,3.23,3.52,84,44,872,1000,101.35
2025-05-16,0.06,0.45,66,66,868,1000,101.35
2025-05-19,-0.63,0.28,68,73,859,1000,101.35
2025-05-20,3.48,3.95,89,41,870,1000,101.35
2025-05-21,3.9,4.12,80,31,889,1000,101.35
2025-05-22,1.71,1.77,85,68,847,1000,101.35
2025-05-23,0.09,0.08,95,101,804,1000,101.35
2025-05-26,-5.04,-5.47,51,128,821,1000,101.35
2025-05-27,-5.13,-5.38,50,123,827,1000,101.35
2025-05-28,-4.36,-4.28,58,118,824,1000,101.35
2025-05-29,0.36,-1.03,75,92,833,1000,101.35
2025-05-30,1.53,0.77,81,79,840,1000,101.35
2025-06-03,-1.29,-2.37,89,128,783,1000,101.35
2025-06-04,2.15,2.69,100,71,829,1000,101.35
2025-06-05,5.57,5.31,110,47,843,1000,101.35
2025-06-06,6.0,4.81,101,40,859,1000,101.35
2025-06-09,5.85,5.36,101,33,866,1000,101.35
2025-06-10,4.28,4.1,108,59,833,1000,101.35
2025-06-11,4.47,4.18,86,35,879,1000,101.35
2025-06-12,7.5,5.96,108,36,856,1000,101.35
2025-06-13,4.76,1.85,106,88,806,1000,101.35
2025-06-16,1.55,-0.45,84,96,820,1000,101.35
2025-06-17,1.58,-0.23,77,85,838,1000,101.35
2025-06-18,-0.98,-1.99,63,93,844,1000,101.35
2025-06-19,-1.81,-3.47,70,117,813,1000,101.35
2025-06-20,-7.42,-7.71,51,154,795,1000,101.35
2025-06-23,-5.09,-8.03,76,178,746,1000,101.35
2025-06-24,2.41,-0.15,75,79,846,1000,101.35
2025-06-25,6.09,5.55,120,48,832,1000,101.35
2025-06-26,9.65,7.44,135,41,824,1000,101.35
2025-06-27,10.41,7.17,134,41,825,1000,101.35
2025-06-30,5.05,4.45,107,50,843,1000,101.35
2025-07-01,6.0,5.14,115,47,838,1000,101.35
2025-07-02,5.31,5.76,116,48,836,1000,101.35
2025-07-03,4.73,4.81,102,45,853,1000,101.35
2025-07-04,7.63,6.03,118,45,837,1000,101.35
2025-07-07,5.51,4.83,111,53,836,1000,101.35
2025-07-08,6.66,5.59,117,48,835,1000,101.35
2025-07-09,10.78,9.05,141,26,833,1000,101.35
2025-07-10,6.95,6.23,127,45,828,1000,101.35
2025-07-11,4.98,5.58,126,61,813,1000,101.35
2025-07-14,9.34,8.53,157,52,791,1000,101.35
2025-07-15,5.65,4.64,127,77,796,1000,101.35
2025-07-16,4.62,4.02,112,69,819,1000,101.35
2025-07-17,3.19,3.58,112,70,818,1000,101.35
2025-07-18,7.15,6.71,143,58,799,1000,101.35
2025-07-21,8.35,8.92,180,67,753,1000,101.35
2025-07-22,13.42,12.39,209,57,734,1000,101.35
2025-07-23,9.88,10.69,196,66,738,1000,101.35
2025-07-24,10.73,10.09,184,58,758,1000,101.35
2025-07-25,12.91,13.07,221,57,722,1000,101.35
2025-07-28,11.27,9.83,187,71,742,1000,101.35
2025-07-29,7.99,6.29,156,90,754,1000,101.35
2025-07-30,10.41,8.57,178,83,739,1000,101.35
2025-07-31,6.52,6.29,159,96,745,1000,101.35
2025-08-01,4.26,3.82,138,99,763,1000,101.35
2025-08-04,2.54,2.19,121,101,778,1000,101.35
2025-08-05,9.32,8.87,172,69,759,1000,101.35
2025-08-06,11.55,10.79,196,69,735,1000,101.35
2025-08-07,9.51,9.63,192,81,727,1000,101.35
2025-08-08,7.74,7.26,163,83,754,1000,101.35
2025-08-11,11.86,11.77,207,67,726,1000,101.35
2025-08-12,9.13,11.34,203,68,729,1000,101.35
2025-08-13,11.27,11.61,221,83,696,1000,101.35
2025-08-14,16.4,14.55,250,81,669,1000,101.35
2025-08-15,9.97,8.25,188,99,713,1000,101.35
2025-08-18,15.2,14.77,265,88,647,1000,101.35
2025-08-19,18.39,16.53,282,84,634,1000,101.35
2025-08-20,6.35,7.89,222,139,639,1000,101.35
2025-08-21,18.08,17.33,298,95,607,1000,101.35
2025-08-22,12.38,11.39,241,111,648,1000,101.35
2025-08-25,20.02,18.16,315,102,583,1000,101.35
2025-08-26,18.11,16.39,294,96,610,1000,101.35
2025-08-27,17.63,16.22,312,125,563,1000,101.35
2025-08-28,-3.18,-2.32,163,225,612,1000,101.35
2025-08-29,8.05,7.97,206,120,674,1000,101.35
2025-09-01,9.12,8.51,211,118,671,1000,101.35
2025-09-02,7.01,5.59,206,159,635,1000,101.35
2025-09-03,-1.11,-1.39,151,193,656,1000,101.35
2025-09-04,-3.06,-4.49,131,214,655,1000,101.35
2025-09-05,-3.72,-1.56,124,165,711,1000,101.35
2025-09-08,8.85,9.78,210,91,699,1000,101.35
2025-09-09,9.84,10.3,204,75,721,1000,101.35
2025-09-10,5.23,6.2,159,85,756,1000,101.35
2025-09-11,1.42,0.8,143,148,709,1000,101.35
2025-09-12,14.66,12.37,214,58,728,1000,101.35
2025-09-15,12.84,10.62,196,64,740,1000,101.35
2025-09-16,5.51,5.66,159,98,743,1000,101.35
2025-09-17,8.06,8.11,182,86,732,1000,101.35
2025-09-18,9.66,7.94,216,123,661,1000,101.35
2025-09-19,4.22,2.91,168,134,698,1000,101.35
2025-09-22,-0.8,-1.05,133,159,708,1000,101.35
2025-09-23,-1.06,-3.48,158,224,618,1000,101.35
2025-09-24,-2.45,-1.92,159,201,640,1000,101.35
2025-09-25,6.17,6.15,183,112,705,1000,101.35
2025-09-26,1.46,0.12,152,160,688,1000,101.35
2025-09-29,-3.69,-5.19,122,205,673,1000,101.35
2025-09-30,6.28,5.27,173,112,715,1000,101.35
2025-10-09,8.69,6.92,206,125,669,1000,101.35
2025-10-10,8.22,6.2,193,129,678,1000,101.35
2025-10-13,-8.58,-8.9,115,248,637,1000,101.35
2025-10-14,7.12,6.09,208,137,655,1000,101.35
2025-10-15,-2.34,-1.19,127,153,720,1000,101.35
2025-10-16,3.94,3.34,145,103,752,1000,101.35
2025-10-17,-2.24,-3.17,131,178,691,1000,101.35
2025-10-20,-2.31,-3.92,108,165,727,1000,101.35
2025-10-21,-0.91,-0.55,116,128,756,1000,101.35
2025-10-22,2.41,2.96,128,97,775,1000,101.35
2025-10-23,-5.43,-2.89,109,155,736,1000,101.35
2025-10-24,2.84,4.69,139,81,780,1000,101.35
2025-10-27,6.22,4.59,133,72,795,1000,101.35
2025-10-28,4.82,3.05,122,79,799,1000,101.35
2025-10-29,3.02,1.79,126,101,773,1000,101.35
2025-10-30,3.54,1.83,129,102,769,1000,101.35
2025-10-31,-0.2,-1.37,104,123,773,1000,101.35
2025-11-03,0.1,0.07,106,109,785,1000,101.35
2025-11-04,0.29,-0.4,110,119,771,1000,101.35
2025-11-05,-4.91,-3.82,90,143,767,1000,101.35
2025-11-06,2.31,2.94,126,98,776,1000,101.35
2025-11-07,7.71,6.71,166,84,750,1000,101.35
2025-11-10,4.58,5.88,166,99,735,1000,101.35
2025-11-11,6.82,7.38,177,88,735,1000,101.35
2025-11-12,0.47,2.44,160,139,701,1000,101.35
2025-11-13,-0.44,0.48,134,138,728,1000,101.35
2025-11-14,6.17,8.18,194,100,706,1000,101.35
2025-11-17,-0.37,0.86,136,132,732,1000,101.35
2025-11-18,-1.23,-1.42,125,153,722,1000,101.35
2025-11-19,-1.83,-3.16,108,159,733,1000,101.35
2025-11-20,-0.23,-2.16,119,154,727,1000,101.35
2025-11-21,-15.2,-15.67,100,308,592,1000,101.35
2025-11-24,-16.83,-16.44,91,296,613,1000,101.35
2025-11-25,-8.38,-9.18,86,194,720,1000,101.35
2025-11-26,-3.96,-5.09,105,162,733,1000,101.35
2025-11-27,-4.86,-5.57,102,166,732,1000,101.35
2025-11-28,-9.18,-9.66,73,194,733,1000,101.35
2025-12-01,-1.19,-1.86,103,120,777,1000,101.35
2025-12-02,-2.09,-2.27,89,114,797,1000,101.35
2025-12-03,-5.74,-4.41,110,163,727,1000,101.35
2025-12-04,-9.65,-8.68,82,194,724,1000,101.35
2025-12-05,-10.59,-10.75,83,213,704,1000,101.35
2025-12-08,2.32,-0.27,111,107,782,1000,101.35
